;;xRxR;xRyR;(xL)xR;(xL)yR;(yL)xR;xL(xR);yL(xR);xL(yR);(xL)(xR);(xL)(yR);(yL)(xR);xLxL;xLyL
xRxR;xRyR;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0
xRxR;(xL)yR;0;0;1;0;0;0;0;0;0;0;0;0;0
xRxR;(yL)xR;0;0;0;0;1;0;0;0;0;0;0;0;0
xRxR;yL(xR);1;0;0;0;0;0;0;0;0;0;0;0;0
xRxR;xL(yR);0;1;0;0;0;0;0;0;0;0;0;0;0
xRxR;(xL)(yR);0;0.5;0.5;0;0;0;0;0;0;0;0;0;0
xRxR;(yL)(xR);0.5;0;0;0;0.5;0;0;0;0;0;0;0;0
xRxR;xLyL;0;0;0.25;0;0.25;0.25;0.25;0;0;0;0;0;0
(xL)xR;xRyR;0;0;0.5;0.5;0;0;0;0;0;0;0;0;0
(xL)xR;(xL)yR;0;0;0;0;0;0;0;0;0;0;0;0;0
(xL)xR;(yL)xR;0;0;0;0;0;0;0;0;0;0;0;0;0
(xL)xR;yL(xR);0;0;0;0;0;0;0;0;1;0;0;0;0
(xL)xR;xL(yR);0;0;0;0;0;0;0;0;0;1;0;0;0
(xL)xR;(xL)(yR);0;0;0;0;0;0;0;0;0;0.5;0;0;0
(xL)xR;(yL)(xR);0;0;0;0;0;0;0;0;0.5;0;0;0;0
(xL)xR;xLyL;0;0;0;0;0;0;0;0;0;0;0;0;0
xL(xR);xRyR;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0
xL(xR);(xL)yR;0;0;0;0;0;0.5;0;0;0.5;0;0;0;0
xL(xR);(yL)xR;0;0;0;0;0.4;0;0.4;0;0;0;0.2;0;0
xL(xR);yL(xR);1;0;0;0;0;0;0;0;0;0;0;0;0
xL(xR);xL(yR);0;1;0;0;0;0;0;0;0;0;0;0;0
xL(xR);(xL)(yR);0;0.5;0;0;0;0;0;0;0.5;0;0;0;0
xL(xR);(yL)(xR);0;0.5;0;0;0;0;0;0;0;0;0.5;0;0
xL(xR);xLyL;0;0;0;0;0;0.5;0.5;0;0;0;0;0;0
(xL)(xR);xRyR;0.25;0.25;0.25;0.25;0;0;0;0;0;0;0;0;0
(xL)(xR);(xL)yR;0;0;0;0;0;0.25;0;0;0.25;0;0;0;0
(xL)(xR);(yL)xR;0;0;0;0;0;0;0;0;0;0;0.5;0;0
(xL)(xR);yL(xR);0;0.5;0;0;0;0;0;0;0.5;0;0;0;0
(xL)(xR);xL(yR);0;0.5;0;0;0;0;0;0;0;0.5;0;0;0
(xL)(xR);(xL)(yR);0;0.25;0;0;0;0;0;0;0.25;0.25;0;0;0
(xL)(xR);(yL)(xR);0.5;0;0;0;0;0;0;0;0;0;0;0;0
(xL)(xR);xLyL;0;0;0;0;0;0.25;0.25;0;0;0;0;0;0
xLxL;xRyR;0;0;0.25;0.25;0;0.25;0;0.25;0;0;0;0;0
xLxL;(xL)yR;0;0;0;0;0;0;0;0;0;0;0;1;0
xLxL;(yL)xR;0;0;0;0;0;0;0;0;0;0;0;0;1
xLxL;yL(xR);0;0;0;0;0;1;0;0;0;0;0;0;0
xLxL;xL(yR);0;0;0;0;0;0;0;1;0;0;0;0;0
xLxL;(xL)(yR);0;0;0;0;0.5;0;0;0;0;0;0;0.5;0
xLxL;(yL)(xR);0;0;0;0;0;0.5;0;0;0;0;0;0;0.5
xLxL;xLyL;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5
